Query	Subject	pident	length	mismatch	gaopen	qstart	qend	sstart	send	evalue	bitscore
Tc02v2_t019040.2	OLXF_grafted_with_TJLC-5426	88.305	1351	154	3	438	1787	284	1631	0	1616
Tc02v2_t019040.1	OLXF_grafted_with_TJLC-5426	88.305	1351	154	3	816	2165	284	1631	0	1616
Tc01v2_t006340.5	ZSAB_grafted_with_QUTB-5264	88.571	1330	142	9	211	1535	1	1325	0	1605
Tc08v2_t008610.2	OLXF_grafted_with_THHD-6389	90.963	1173	106	0	1	1173	1	1173	0	1580
Tc08v2_t008610.1	OLXF_grafted_with_THHD-6389	90.963	1173	106	0	1	1173	1	1173	0	1580
Tc01v2_t024040.1	KKDQ-4992	83.343	1711	276	3	298	1999	37	1747	0	1572
Tc09v2_t021590.2	WYIG-5913	90.238	1178	113	2	76	1252	1	1177	0	1537
Tc09v2_t021590.4	WYIG-5913	90.238	1178	113	2	76	1252	1	1177	0	1537
Tc09v2_t021590.1	WYIG-5913	90.238	1178	113	2	76	1252	1	1177	0	1537
Tc09v2_t021590.3	WYIG-5913	90.238	1178	113	2	76	1252	1	1177	0	1537
Tc01v2_t023330.2	WYIG_grafted_with_BCAA-5406	89.635	1206	122	1	552	1754	255	1460	0	1535
Tc01v2_t023330.1	WYIG_grafted_with_BCAA-5406	89.635	1206	122	1	960	2162	255	1460	0	1535
Tc08v2_t008610.2	THHD-6389	90.026	1173	117	0	1	1173	1	1173	0	1519
Tc08v2_t008610.1	THHD-6389	90.026	1173	117	0	1	1173	1	1173	0	1519
Tc01v2_t025170.1	MAQO-6041	81.181	1913	337	20	317	2216	149	2051	0	1517
Tc01v2_t025170.2	MAQO-6041	81.181	1913	337	20	317	2216	149	2051	0	1517
Tc01v2_t018910.1	ZSAB_grafted_with_HYZL-6036	88.962	1223	135	0	1	1223	1	1223	0	1511
Tc01v2_t023330.2	ZSAB_grafted_with_BCAA-5406	89.277	1203	129	0	552	1754	255	1457	0	1507
Tc01v2_t023330.1	ZSAB_grafted_with_BCAA-5406	89.277	1203	129	0	960	2162	255	1457	0	1507
Tc05v2_t003910.1	OLXF_grafted_with_QUTB-5366	88.009	1276	143	9	133	1403	4	1274	0	1500
Tc05v2_t007700.2	ZSAB_grafted_with_VYGG-5421	86.735	1357	167	11	205	1559	1	1346	0	1496
Tc05v2_t007700.1	ZSAB_grafted_with_VYGG-5421	86.735	1357	167	11	205	1559	1	1346	0	1496
Tc04v2_t023010.1	WYIG_grafted_with_TJLC-6717	86.937	1332	160	12	562	1886	4	1328	0	1491
TcUnv2_t000300.1	WYIG-6284	88.335	1243	141	4	59	1299	14	1254	0	1489
Tc01v2_t020750.1	NUZN-6500	85.704	1399	200	0	471	1869	6	1404	0	1476
Tc01v2_t020750.2	NUZN-6500	85.704	1399	200	0	471	1869	6	1404	0	1476
Tc08v2_t003130.1	WYIG_grafted_with_MRKX-4848	79.487	2106	408	19	245	2341	2	2092	0	1474
Tc04v2_t006900.1	AWJM-5921	81.721	1778	311	11	1821	3594	375	2142	0	1471
Tc04v2_t006900.2	AWJM-5921	81.721	1778	311	11	1821	3594	375	2142	0	1471
Tc04v2_t022960.1	WYIG_grafted_with_XNLP-5670	92.427	1030	76	2	652	1680	1	1029	0	1469
Tc07v2_t008860.1	WYIG_grafted_with_LWDA-6652	86.404	1346	167	6	388	1731	1	1332	0	1459
Tc05v2_t000730.1	OLXF-6924	88.519	1202	134	4	289	1488	1	1200	0	1452
Tc01v2_t023330.2	OLXF_grafted_with_BCAA-5406	88.362	1203	140	0	552	1754	255	1457	0	1447
Tc01v2_t023330.1	OLXF_grafted_with_BCAA-5406	88.362	1203	140	0	960	2162	255	1457	0	1447
Tc10v2_t010210.2	WYIG_grafted_with_HENI-5528	86.097	1345	185	2	13	1356	1	1344	0	1447
Tc10v2_t010210.1	WYIG_grafted_with_HENI-5528	86.097	1345	185	2	13	1356	1	1344	0	1447
Tc09v2_t020900.1	OLXF-5018	87.57	1255	145	8	136	1389	1	1245	0	1445
Tc03v2_t026690.1	VUSY-6098	84.122	1480	233	2	37	1515	1	1479	0	1430
Tc04v2_t025780.1	ZSAB_grafted_with_YKQR-5162	84.658	1434	214	3	241	1668	1	1434	0	1424
Tc01v2_t020750.1	HYZL-6500	85.05	1398	209	0	471	1868	6	1403	0	1424
Tc01v2_t020750.2	HYZL-6500	85.05	1398	209	0	471	1868	6	1403	0	1424
Tc02v2_t013560.1	OLXF_grafted_with_WYIG-6913	93.985	931	54	2	304	1233	1	930	0	1408
Tc02v2_t013560.2	OLXF_grafted_with_WYIG-6913	93.985	931	54	2	304	1233	1	930	0	1408
Tc04v2_t023010.1	ZSAB_grafted_with_TJLC-6717	85.821	1340	172	16	562	1892	7	1337	0	1406
Tc03v2_t006880.1	ZSAB_grafted_with_THHD-5404	88.156	1182	137	2	406	1584	1	1182	0	1404
Tc04v2_t006900.3	OLXF_grafted_with_HAEU-5921	88.468	1162	130	4	2491	3650	793	1952	0	1400
Tc02v2_t010020.1	OLXF-6494	85.973	1326	163	8	287	1611	2	1305	0	1400
Tc08v2_t006130.1	OLXF_grafted_with_MVSE-6450	86.167	1294	177	2	262	1554	4	1296	0	1397
Tc01v2_t024040.1	SLYR-4992	81.264	1756	304	17	262	2000	1	1748	0	1397
Tc03v2_t026750.1	Theca-v1.1-5123	100	755	0	0	226	980	1	755	0	1395
Tc05v2_t020620.1	OMDH-5614	81.024	1797	303	13	49	1838	13	1778	0	1395
Tc05v2_t020620.2	OMDH-5614	81.024	1797	303	13	49	1838	13	1778	0	1395
Tc02v2_t015670.1	WYIG_grafted_with_KTAR-5335	89.076	1126	115	6	229	1350	1	1122	0	1391
Tc02v2_t010020.1	NUZN-6494	85.966	1304	179	4	304	1605	1	1302	0	1391
Tc09v2_t004800.2	OLXF_grafted_with_NUZN-6295	87.976	1181	133	5	259	1439	16	1187	0	1386
Tc09v2_t004800.1	OLXF_grafted_with_NUZN-6295	87.976	1181	133	5	259	1439	16	1187	0	1386
Tc01v2_t014340.1	SWOH-5943	85.384	1341	190	6	1177	2514	1	1338	0	1386
Tc10v2_t010210.3	WYIG_grafted_with_HENI-5528	85.18	1363	182	8	13	1374	1	1344	0	1380
Tc10v2_t010210.4	WYIG_grafted_with_HENI-5528	85.18	1363	182	8	13	1374	1	1344	0	1380
Tc02v2_t013560.1	WYIG-6913	93.441	930	52	1	304	1233	1	921	0	1371
Tc02v2_t013560.2	WYIG-6913	93.441	930	52	1	304	1233	1	921	0	1371
Tc10v2_t001090.1	CCID-6318	81.279	1720	296	26	791	2497	5	1711	0	1369
Tc04v2_t023930.1	OLXF-5339	87.692	1170	144	0	238	1407	1	1170	0	1363
Tc09v2_t018620.1	HAEU-5398	87.302	1197	143	6	349	1542	7	1197	0	1360
Tc02v2_t019040.1	WYIG_grafted_with_HAEU-5426	87.918	1167	123	13	352	1512	1	1155	0	1358
Tc06v2_t010430.1	KKDQ-6544	79.259	2025	346	53	772	2765	16	1997	0	1345
Tc07v2_t006300.1	WYIG-6378	90.185	1029	101	0	325	1353	1	1029	0	1341
Tc07v2_t006300.2	WYIG-6378	90.185	1029	101	0	160	1188	1	1029	0	1341
Tc08v2_t009430.1	WYIG_grafted_with_UZWG-6363	87.532	1163	135	8	538	1692	1	1161	0	1336
Tc10v2_t010210.2	HENI-5528	84.61	1345	205	2	13	1356	1	1344	0	1336
Tc10v2_t010210.1	HENI-5528	84.61	1345	205	2	13	1356	1	1344	0	1336
Tc04v2_t004910.2	WYIG-4954	91.771	960	76	1	514	1473	1	957	0	1334
Tc01v2_t023330.2	BCAA-5406	86.678	1201	158	2	552	1751	255	1454	0	1330
Tc01v2_t023330.1	BCAA-5406	86.678	1201	158	2	960	2159	255	1454	0	1330
Tc06v2_t003180.1	OLXF_grafted_with_QUTB-5899	87.641	1149	136	5	152	1299	3	1146	0	1330
Tc06v2_t003180.2	OLXF_grafted_with_QUTB-5899	87.641	1149	136	5	152	1299	3	1146	0	1330
Tc02v2_t001450.1	TIUZ-4527	84.973	1311	195	2	274	1583	4	1313	0	1328
Tc02v2_t001450.2	TIUZ-4527	84.973	1311	195	2	274	1583	4	1313	0	1328
Tc02v2_t001450.1	HAEU-4527	85.174	1295	190	2	274	1567	4	1297	0	1327
Tc02v2_t001450.2	HAEU-4527	85.174	1295	190	2	274	1567	4	1297	0	1327
Tc06v2_t003180.1	ZSAB_grafted_with_QUTB-5899	88.241	1114	121	7	574	1682	352	1460	0	1323
Tc06v2_t003180.2	ZSAB_grafted_with_QUTB-5899	88.241	1114	121	7	574	1682	352	1460	0	1323
Tc05v2_t003910.1	WYIG_grafted_with_QUTB-5366	85.966	1247	163	11	163	1403	1	1241	0	1323
Tc09v2_t029120.3	WYIG_grafted_with_LNER-5280	88.522	1089	123	2	7	1094	1	1088	0	1317
Tc09v2_t029120.2	WYIG_grafted_with_LNER-5280	88.522	1089	123	2	7	1094	1	1088	0	1317
Tc09v2_t029120.1	WYIG_grafted_with_LNER-5280	88.522	1089	123	2	7	1094	1	1088	0	1317
Tc09v2_t029120.4	WYIG_grafted_with_LNER-5280	88.522	1089	123	2	7	1094	1	1088	0	1317
Tc02v2_t019040.2	WYIG_grafted_with_HAEU-5426	88.011	1126	117	13	15	1134	42	1155	0	1315
Tc02v2_t010020.1	LWDA-6494	84.761	1319	191	8	320	1635	2	1313	0	1314
Tc09v2_t017120.1	OLXF-6859	90.956	973	88	0	102	1074	9	981	0	1310
Tc05v2_t003910.1	ZSAB_grafted_with_QUTB-5366	85.749	1249	162	15	163	1403	1	1241	0	1306
Tc04v2_t006900.1	UZWG-5921	83.465	1397	223	8	344	1736	194	1586	0	1293
Tc04v2_t006900.2	UZWG-5921	83.465	1397	223	8	344	1736	194	1586	0	1293
Tc04v2_t006900.3	UZWG-5921	83.465	1397	223	8	344	1736	194	1586	0	1293
Tc09v2_t004800.2	NUZN-6295	86.387	1190	153	5	250	1439	7	1187	0	1291
Tc09v2_t004800.1	NUZN-6295	86.387	1190	153	5	250	1439	7	1187	0	1291
Tc05v2_t011290.1	Theca-v1.1-5038	100	699	0	0	592	1290	1	699	0	1291
Tc05v2_t011290.2	Theca-v1.1-5038	100	699	0	0	595	1293	1	699	0	1291
Tc03v2_t006880.1	THHD-5404	86.367	1181	158	2	406	1583	1	1181	0	1286
Tc02v2_t015670.1	OLXF_grafted_with_NUZN-5335	87.865	1096	131	2	262	1356	238	1332	0	1286
Tc02v2_t023870.1	ZSAB_grafted_with_MYMP-6947	83.453	1390	223	7	674	2059	427	1813	0	1286
Tc01v2_t025170.1	RJIM-6041	83.439	1413	201	18	808	2217	1	1383	0	1282
Tc01v2_t025170.2	RJIM-6041	83.439	1413	201	18	808	2217	1	1383	0	1282
Tc03v2_t009010.1	XHKT-6119	77.145	2284	466	38	217	2475	1	2253	0	1275
Tc10v2_t010210.3	HENI-5528	83.712	1363	202	8	13	1374	1	1344	0	1269
Tc10v2_t010210.4	HENI-5528	83.712	1363	202	8	13	1374	1	1344	0	1269
Tc05v2_t015220.1	WYIG-6258	91.612	918	77	0	256	1173	1	918	0	1269
Tc08v2_t014580.1	ZSAB-5273	90.641	951	89	0	850	1800	409	1359	0	1264
Tc08v2_t014580.2	ZSAB-5273	90.641	951	89	0	850	1800	409	1359	0	1264
Tc06v2_t011660.2	OLXF-6689	92.58	876	65	0	244	1119	1	876	0	1258
Tc06v2_t011660.3	OLXF-6689	92.58	876	65	0	244	1119	1	876	0	1258
Tc06v2_t011660.1	OLXF-6689	92.58	876	65	0	244	1119	1	876	0	1258
Tc10v2_t003850.1	VUSY-5333	78.254	2028	391	37	1459	3473	7	1997	0	1256
Tc04v2_t023010.1	TJLC-6717	83.784	1332	202	12	562	1886	7	1331	0	1251
Tc09v2_t030010.2	WYIG-5664	90.262	955	93	0	202	1156	1	955	0	1249
Tc04v2_t023930.1	WYIG_grafted_with_OMDH-5339	81.367	1551	272	10	421	1964	1	1541	0	1247
Tc09v2_t008690.1	OLXF-5620	88.661	1023	111	5	696	1717	9	1027	0	1242
Tc01v2_t030770.5	WYIG-4802	92.005	888	62	3	205	1092	1	879	0	1240
Tc01v2_t030770.6	WYIG-4802	92.005	888	62	3	205	1092	1	879	0	1240
Tc01v2_t030770.2	WYIG-4802	92.005	888	62	3	205	1092	1	879	0	1240
Tc01v2_t030770.3	WYIG-4802	92.005	888	62	3	205	1092	1	879	0	1240
Tc01v2_t030770.4	WYIG-4802	92.005	888	62	3	205	1092	1	879	0	1240
Tc01v2_t017690.1	OLXF-6373	93.128	844	56	2	355	1197	1	843	0	1236
Tc08v2_t003130.1	HYZL-4848	84.006	1288	202	4	245	1530	2	1287	0	1234
Tc01v2_t023200.1	WYIG-6961	91.601	893	75	0	214	1106	1	893	0	1234
Tc04v2_t004910.1	WYIG-4954	92.027	878	67	1	514	1391	1	875	0	1232
Tc09v2_t003720.1	ZSAB_grafted_with_YKQR-6038	88.484	1016	115	2	355	1369	1	1015	0	1227
Tc05v2_t020620.1	LFOG-5614	79.673	1712	334	11	280	1984	1	1705	0	1221
Tc05v2_t020620.2	LFOG-5614	79.673	1712	334	11	280	1984	1	1705	0	1221
Tc04v2_t025780.1	YKQR-5162	83.602	1305	208	3	370	1668	1	1305	0	1219
Tc01v2_t030770.5	OLXF-4802	91.329	888	77	0	205	1092	1	888	0	1214
Tc01v2_t030770.6	OLXF-4802	91.329	888	77	0	205	1092	1	888	0	1214
Tc01v2_t030770.2	OLXF-4802	91.329	888	77	0	205	1092	1	888	0	1214
Tc01v2_t030770.3	OLXF-4802	91.329	888	77	0	205	1092	1	888	0	1214
Tc01v2_t030770.4	OLXF-4802	91.329	888	77	0	205	1092	1	888	0	1214
Tc04v2_t006900.3	HAEU-5921	85.53	1161	166	2	2491	3650	793	1952	0	1212
Tc09v2_t029120.3	LNER-5280	87.23	1065	134	2	31	1094	1	1064	0	1212
Tc09v2_t029120.2	LNER-5280	87.23	1065	134	2	31	1094	1	1064	0	1212
Tc09v2_t029120.1	LNER-5280	87.23	1065	134	2	31	1094	1	1064	0	1212
Tc09v2_t029120.4	LNER-5280	87.23	1065	134	2	31	1094	1	1064	0	1212
Tc09v2_t030010.1	WYIG-5664	89.634	955	93	1	202	1150	1	955	0	1210
Tc06v2_t003370.6	OLXF_grafted_with_ATFX-6216	89.623	954	93	5	186	1136	3	953	0	1208
Tc01v2_t006340.5	WYIG_grafted_with_QUTB-5264	87.669	1038	122	5	211	1245	1	1035	0	1203
Tc10v2_t010210.2	DFYF-5528	83.159	1336	205	9	85	1416	73	1392	0	1203
Tc10v2_t010210.1	DFYF-5528	83.159	1336	205	9	85	1416	73	1392	0	1203
Tc04v2_t008790.1	ZSAB-7313	89.84	935	95	0	439	1373	1	935	0	1201
Tc02v2_t024400.7	OLXF-5702	91.93	855	69	0	202	1056	1	855	0	1197
Tc10v2_t010210.5	WYIG_grafted_with_HENI-5528	88.419	993	115	0	1	993	352	1344	0	1197
Tc10v2_t010210.6	WYIG_grafted_with_HENI-5528	88.923	966	107	0	46	1011	379	1344	0	1192
Tc10v2_t010210.7	WYIG_grafted_with_HENI-5528	88.923	966	107	0	169	1134	379	1344	0	1192
Tc08v2_t014310.1	OLXF-6029	91.521	861	73	0	163	1023	1	861	0	1186
Tc06v2_t010430.2	WYIG_grafted_with_THHD-6544	85.395	1164	146	17	1502	2651	1108	2261	0	1186
Tc10v2_t008650.1	NUZN-5816	82.117	1398	238	9	232	1623	1	1392	0	1186
Tc05v2_t008970.1	ZSAB-5945	94.208	777	45	0	4	780	1	777	0	1186
Tc07v2_t008860.1	LWDA-6652	82.67	1356	216	10	387	1734	3	1347	0	1184
Tc04v2_t022960.1	XNLP-5670	87.379	1030	128	2	652	1680	1	1029	0	1181
Tc09v2_t020900.1	WYIG_grafted_with_BFJL-5018	83.703	1264	192	10	136	1389	1	1260	0	1181
Tc09v2_t007800.2	WYIG-6050	94.488	762	42	0	484	1245	1	762	0	1175
Tc09v2_t007800.1	WYIG-6050	94.488	762	42	0	310	1071	1	762	0	1175
Tc05v2_t007700.2	OLXF_grafted_with_VYGG-5421	89.581	931	88	3	630	1560	240	1161	0	1175
Tc05v2_t007700.1	OLXF_grafted_with_VYGG-5421	89.581	931	88	3	630	1560	240	1161	0	1175
Tc05v2_t009200.1	WYIG-5866	91.173	861	73	1	40	897	1	861	0	1166
Tc07v2_t002430.1	WYIG-5770	86.381	1072	136	5	571	1640	145	1208	0	1164
Tc07v2_t002430.1	ZSAB_grafted_with_QUTB-5770	86.553	1056	142	0	583	1638	148	1203	0	1164
Tc01v2_t023200.1	ZSAB-6961	90.157	894	88	0	214	1107	1	894	0	1164
Tc06v2_t010430.2	OLXF_grafted_with_THHD-6544	85.112	1162	147	19	1502	2651	1108	2255	0	1164
Tc10v2_t010210.2	ZSAB_grafted_with_HENI-5528	84.888	1158	170	3	13	1169	1	1154	0	1164
Tc10v2_t010210.1	ZSAB_grafted_with_HENI-5528	84.888	1158	170	3	13	1169	1	1154	0	1164
Tc04v2_t006900.3	UZWG-5921	84.794	1164	169	8	2491	3650	2338	3497	0	1162
Tc04v2_t015390.1	WYIG-7279	89.67	910	88	4	266	1175	5	908	0	1155
Tc09v2_t030010.2	OLXF-5664	88.345	961	112	0	202	1162	1	961	0	1155
Tc03v2_t010210.1	WYIG_grafted_with_NUZN-6383	90.433	878	76	5	684	1557	99	972	0	1149
Tc04v2_t017790.1	RZTJ-6458	85.806	1085	151	1	280	1364	1	1082	0	1147
Tc04v2_t017790.2	RZTJ-6458	85.806	1085	151	1	274	1358	1	1082	0	1147
Tc04v2_t004910.2	ZSAB_grafted_with_NXOH-4954	89.301	916	97	1	630	1545	4	918	0	1147
Tc03v2_t026750.1	OLXF_grafted_with_Theca-v1.1-5123	94.048	756	43	2	226	980	1	755	0	1146
Tc04v2_t011880.1	WYIG_grafted_with_INSP-6016	88.77	935	103	2	221	1154	26	959	0	1144
Tc03v2_t009010.1	Phavu-v1.0-6119	76.161	2261	488	42	217	2459	1	2228	0	1142
Tc04v2_t021700.4	WYIG-5940	91.456	831	71	0	79	909	1	831	0	1142
Tc04v2_t021700.1	WYIG-5940	91.456	831	71	0	79	909	1	831	0	1142
Tc04v2_t021700.3	WYIG-5940	91.456	831	71	0	79	909	1	831	0	1142
Tc04v2_t021700.2	WYIG-5940	91.456	831	71	0	220	1050	1	831	0	1142
Tc01v2_t025080.1	OLXF-5138	90.931	849	77	0	73	921	1	849	0	1142
Tc04v2_t008790.1	OLXF-7313	88.639	933	106	0	439	1371	1	933	0	1136
Tc01v2_t023200.1	OLXF-6961	89.586	893	93	0	214	1106	1	893	0	1134
Tc06v2_t003370.3	OLXF_grafted_with_ATFX-6216	89.544	899	88	5	186	1081	3	898	0	1134
Tc09v2_t019380.1	BSEY-5922	80.832	1466	260	20	419	1874	5	1459	0	1131
Tc10v2_t010210.3	DFYF-5528	82.201	1354	203	16	85	1434	73	1392	0	1131
Tc10v2_t010210.4	DFYF-5528	82.201	1354	203	16	85	1434	73	1392	0	1131
Tc05v2_t020430.3	QUTB-5865	81.745	1375	231	10	895	2268	1	1356	0	1131
Tc09v2_t004800.2	INQX-6295	84.765	1129	166	6	252	1377	3	1128	0	1127
Tc09v2_t004800.1	INQX-6295	84.765	1129	166	6	252	1377	3	1128	0	1127
Tc01v2_t006340.5	UPZX-5264	80.208	1536	275	14	1	1535	1	1508	0	1125
Tc06v2_t010430.2	ZSAB_grafted_with_THHD-6544	84.814	1159	132	22	1502	2651	1108	2231	0	1125
Tc08v2_t014310.1	WYIG_grafted_with_WWKL-6029	90.736	842	78	0	182	1023	2	843	0	1123
Tc09v2_t007150.3	OLXF-4942	91.336	831	57	6	67	897	1	816	0	1122
Tc09v2_t021590.2	OLXF_grafted_with_NUZN-5913	84.3	1172	158	15	76	1246	1	1147	0	1122
Tc09v2_t021590.4	OLXF_grafted_with_NUZN-5913	84.3	1172	158	15	76	1246	1	1147	0	1122
Tc09v2_t021590.1	OLXF_grafted_with_NUZN-5913	84.3	1172	158	15	76	1246	1	1147	0	1122
Tc09v2_t007150.2	OLXF-4942	91.336	831	57	6	67	897	1	816	0	1122
Tc09v2_t021590.3	OLXF_grafted_with_NUZN-5913	84.3	1172	158	15	76	1246	1	1147	0	1122
Tc06v2_t011660.2	ZSAB_grafted_with_HQRJ-6689	89.761	879	87	2	244	1119	1	879	0	1122
Tc06v2_t011660.3	ZSAB_grafted_with_HQRJ-6689	89.761	879	87	2	244	1119	1	879	0	1122
Tc06v2_t011660.1	ZSAB_grafted_with_HQRJ-6689	89.761	879	87	2	244	1119	1	879	0	1122
Tc09v2_t007800.2	ZSAB-6050	93.072	765	53	0	484	1248	1	765	0	1120
Tc09v2_t007800.1	ZSAB-6050	93.072	765	53	0	310	1074	1	765	0	1120
