queryHit,dbHit
Tc07v2_t008110.1,OLXF-5893
Tc07v2_t008110.1,ZSAB-5893
Tc07v2_t008110.1,JSZD-5893
Tc07v2_t010820.1,OLXF_grafted_with_VYGG-6051
Tc07v2_t010820.1,VYGG-6051
Tc07v2_t010820.1,TVSH-6051
Tc07v2_t008860.1,ZSAB-6652
Tc07v2_t008860.1,WYIG_grafted_with_LWDA-6652
Tc07v2_t008860.1,LWDA-6652
Tc07v2_t008860.1,UMUL-6652
Tc07v2_t008860.1,QTJY-6652
Tc07v2_t003180.2,WYIG-5304
Tc07v2_t003180.2,NHUA-5304
Tc07v2_t006300.2,WYIG-6378
Tc07v2_t006300.2,OLXF_grafted_with_WVEF-6378
Tc07v2_t006300.2,WVEF-6378
Tc07v2_t008070.1,OLXF-5893
Tc07v2_t008070.1,JSZD-5893
Tc07v2_t002430.1,WYIG-5770
Tc07v2_t002430.1,ZSAB_grafted_with_QUTB-5770
Tc07v2_t002430.1,QUTB-5770
Tc07v2_t002430.1,QTJY-5770
Tc07v2_t002430.1,ERWT-5770
Tc07v2_t002430.1,ICNN-5770
Tc07v2_t002430.1,RMWJ-5770
Tc07v2_t004420.2,ZSAB-6860
Tc07v2_t004420.2,WYIG_grafted_with_HYZL-6860
Tc07v2_t001300.1,ZSAB_grafted_with_HQRJ-5449
Tc07v2_t001300.1,VUSY-5449
Tc07v2_t001300.1,HQRJ-5449
Tc07v2_t001300.1,OLXF_grafted_with_UPZX-5449
Tc07v2_t001300.1,WYIG_grafted_with_SLYR-5449
Tc07v2_t001300.1,PSJT-5449
Tc07v2_t006000.1,WWKL-6968
Tc07v2_t006000.1,BIDT-6968
Tc07v2_t008710.2,WWKL-5489
Tc07v2_t008710.2,HXCD-5489
Tc04v2_t025150.1,OLXF-7628
Tc04v2_t025150.1,LFOG-7628
Tc04v2_t025770.1,OLXF-5200
Tc04v2_t025770.1,WYIG-5200
Tc04v2_t025770.1,ZSAB-5200
Tc04v2_t025770.1,JPDJ-5200
Tc04v2_t021700.4,WYIG-5940
Tc04v2_t021700.4,OLXF_grafted_with_WWKL-5940
Tc04v2_t017050.1,OLXF_grafted_with_HAEU-6460
Tc04v2_t017050.1,HAEU-6460
Tc04v2_t010030.3,ZSAB-6384
Tc04v2_t010030.3,CWZU-6384
Tc04v2_t015240.4,WYIG_grafted_with_HQRJ-6387
Tc04v2_t015240.4,HQRJ-6387
Tc04v2_t015240.4,EDXZ-6387
Tc04v2_t015240.4,ZSSR-6387
Tc04v2_t015240.4,HKMQ-6387
Tc04v2_t000990.4,OLXF-5271
Tc04v2_t000990.4,WYIG-5271
Tc04v2_t000990.4,ZSAB_grafted_with_FYTP-5271
Tc04v2_t000990.4,FYTP-5271
Tc04v2_t018900.1,WYIG-5318
Tc04v2_t018900.1,OLXF_grafted_with_PTLU-5318
Tc04v2_t018900.1,ZSAB_grafted_with_PTLU-5318
Tc04v2_t018900.1,PTLU-5318
Tc04v2_t018900.1,SLYR-5318
Tc04v2_t018900.1,VXKB-5318
Tc04v2_t014020.1,WYIG_grafted_with_TJLC-5131
Tc04v2_t014020.1,BJKT-5131
Tc04v2_t023690.1,WYIG_grafted_with_THHD-7128
Tc04v2_t023690.1,ZSAB_grafted_with_THHD-7128
Tc04v2_t023690.1,THHD-7128
Tc04v2_t006900.1,OLXF_grafted_with_HAEU-5921
Tc04v2_t006900.1,HAEU-5921
Tc04v2_t006900.1,UZWG-5921
Tc04v2_t006900.1,UZWG-5921
Tc04v2_t006900.1,AWJM-5921
Tc04v2_t006900.1,YBML-5921
Tc04v2_t006900.1,XHKT-5921
Tc04v2_t006900.1,Arath-5921
Tc04v2_t000800.1,WYIG-6487
Tc04v2_t000800.1,OLXF_grafted_with_QAUE-6487
Tc04v2_t000800.1,QXWF-6487
Tc04v2_t000800.1,Arath-6487
Tc04v2_t000990.1,OLXF-5271
Tc04v2_t000990.1,WYIG-5271
Tc04v2_t000990.1,ZSAB_grafted_with_FYTP-5271
Tc04v2_t000990.1,FYTP-5271
Tc04v2_t016260.2,ZSAB-6992
Tc04v2_t016260.2,WYIG-6992
Tc04v2_t016260.2,MZOB-6992
Tc04v2_t010080.3,WYIG-4806
Tc04v2_t010080.3,OLXF-4806
Tc04v2_t010080.3,QTJY-4806
Tc04v2_t010080.3,RKLL-4806
Tc04v2_t010080.3,HLJG-4806
Tc04v2_t010080.3,GBVZ-4806
Tc04v2_t001770.1,THHD-6048
Tc04v2_t001770.1,ZSAB-6048
Tc04v2_t001770.1,SLYR-6048
Tc04v2_t021700.1,WYIG-5940
Tc04v2_t021700.1,OLXF_grafted_with_WWKL-5940
Tc04v2_t008790.1,ZSAB-7313
Tc04v2_t008790.1,OLXF-7313
Tc04v2_t008790.1,WYIG_grafted_with_SVVG-7313
Tc04v2_t008790.1,SVVG-7313
Tc04v2_t008790.1,HAEU-7313
Tc04v2_t004910.1,WYIG-4954
Tc04v2_t004910.1,ZSAB_grafted_with_NXOH-4954
Tc04v2_t004910.1,OXYP-4954
Tc04v2_t004910.1,Arath-4954
Tc04v2_t015390.1,WYIG-7279
Tc04v2_t015390.1,NUZN-7279
Tc04v2_t023010.1,WYIG_grafted_with_TJLC-6717
Tc04v2_t023010.1,ZSAB_grafted_with_TJLC-6717
Tc04v2_t023010.1,TJLC-6717
Tc04v2_t023010.1,OMYK-6717
Tc04v2_t023010.1,UMUL-6717
Tc04v2_t023010.1,VXKB-6717
Tc04v2_t003380.1,PTLU-6552
Tc04v2_t003380.1,QUTB-6552
Tc04v2_t003380.1,WYIG_grafted_with_QUTB-6552
Tc04v2_t003380.1,NUZN-6552
Tc04v2_t001770.3,THHD-6048
Tc04v2_t001770.3,ZSAB-6048
Tc04v2_t001770.3,SLYR-6048
Tc04v2_t016260.1,ZSAB-6992
Tc04v2_t016260.1,WYIG-6992
Tc04v2_t016260.1,MZOB-6992
Tc04v2_t021700.3,WYIG-5940
Tc04v2_t021700.3,OLXF_grafted_with_WWKL-5940
Tc04v2_t004150.1,OLXF-6641
Tc04v2_t004150.1,ZSAB-6641
Tc04v2_t004150.1,Manes-v4.1-6641
Tc04v2_t004150.1,HAEU-6641
Tc04v2_t023930.1,OLXF-5339
Tc04v2_t023930.1,WYIG_grafted_with_OMDH-5339
Tc04v2_t023930.1,OMDH-5339
Tc04v2_t023930.1,QSKP-5339
Tc04v2_t010030.2,ZSAB-6384
Tc04v2_t010030.2,CWZU-6384
Tc04v2_t000990.3,OLXF-5271
Tc04v2_t000990.3,WYIG-5271
Tc04v2_t000990.3,ZSAB_grafted_with_FYTP-5271
Tc04v2_t000990.3,FYTP-5271
Tc04v2_t013710.2,OLXF-6506
Tc04v2_t013710.2,CWZU-6506
Tc04v2_t013710.2,KYAD-6506
Tc04v2_t013710.2,OXYP-6506
Tc04v2_t013710.2,UMUL-6506
Tc04v2_t013710.2,TEZA-6506
Tc04v2_t015240.3,WYIG_grafted_with_HQRJ-6387
Tc04v2_t015240.3,HQRJ-6387
Tc04v2_t015240.3,EDXZ-6387
Tc04v2_t015240.3,ZSSR-6387
Tc04v2_t015240.3,HKMQ-6387
Tc04v2_t025830.1,ZSAB_grafted_with_TIUZ-6221
Tc04v2_t017050.2,OLXF_grafted_with_HAEU-6460
Tc04v2_t017050.2,HAEU-6460
Tc04v2_t013710.1,OLXF-6506
Tc04v2_t013710.1,CWZU-6506
Tc04v2_t013710.1,OXYP-6506
Tc04v2_t013710.1,KYAD-6506
Tc04v2_t013710.1,UMUL-6506
Tc04v2_t005100.3,NCVK-5699
Tc04v2_t005100.3,Ambtr-5699
Tc04v2_t006900.2,OLXF_grafted_with_HAEU-5921
Tc04v2_t006900.2,HAEU-5921
Tc04v2_t006900.2,UZWG-5921
Tc04v2_t006900.2,UZWG-5921
Tc04v2_t006900.2,AWJM-5921
Tc04v2_t006900.2,YBML-5921
Tc04v2_t006900.2,XHKT-5921
Tc04v2_t006900.2,Arath-5921
Tc04v2_t024140.1,ZSAB_grafted_with_YKQR-5343
Tc04v2_t024140.1,OLXF_grafted_with_YKQR-5343
Tc04v2_t024140.1,UMUL-5343
Tc04v2_t024140.1,YKQR-5343
Tc04v2_t012370.1,WYIG-6864
Tc04v2_t012370.1,ZSAB_grafted_with_QUTB-6864
Tc04v2_t012370.1,OLXF_grafted_with_QUTB-6864
Tc04v2_t012370.1,VYGG-6864
Tc04v2_t012370.1,QUTB-6864
Tc04v2_t015390.2,WYIG-7279
Tc04v2_t015390.2,NUZN-7279
Tc04v2_t005270.1,OLXF_grafted_with_WWKL-4793
Tc04v2_t005270.1,WYIG_grafted_with_WWKL-4793
Tc04v2_t017790.1,OLXF-6458
Tc04v2_t017790.1,RZTJ-6458
Tc04v2_t017790.1,FYTP-6458
Tc04v2_t017790.1,HOKG-6458
Tc04v2_t001770.2,THHD-6048
Tc04v2_t001770.2,ZSAB-6048
Tc04v2_t001770.2,SLYR-6048
Tc04v2_t003200.1,ZSAB_grafted_with_QIKZ-7577
Tc04v2_t003200.1,WYIG_grafted_with_QIKZ-7577
Tc04v2_t015240.2,WYIG_grafted_with_HQRJ-6387
Tc04v2_t015240.2,HQRJ-6387
Tc04v2_t015240.2,EDXZ-6387
Tc04v2_t015240.2,ZSSR-6387
Tc04v2_t015240.2,HKMQ-6387
Tc04v2_t017790.2,OLXF-6458
Tc04v2_t017790.2,RZTJ-6458
Tc04v2_t017790.2,FYTP-6458
Tc04v2_t017790.2,HOKG-6458
Tc04v2_t014020.2,WYIG_grafted_with_TJLC-5131
Tc04v2_t014020.2,BJKT-5131
Tc04v2_t018260.2,OLXF-4796
Tc04v2_t018260.2,WYIG_grafted_with_VUSY-4796
Tc04v2_t018260.2,QTJY-4796
Tc04v2_t018260.2,HAEU-4796
Tc04v2_t025780.1,ZSAB_grafted_with_YKQR-5162
Tc04v2_t025780.1,YKQR-5162
Tc04v2_t025780.1,VQFW-5162
Tc04v2_t006900.3,OLXF_grafted_with_HAEU-5921
Tc04v2_t006900.3,UZWG-5921
Tc04v2_t006900.3,UZWG-5921
Tc04v2_t006900.3,UZWG-5921
Tc04v2_t006900.3,HAEU-5921
Tc04v2_t006900.3,XHKT-5921
Tc04v2_t006900.3,Arath-5921
Tc04v2_t006900.3,YBML-5921
Tc04v2_t006900.3,AWJM-5921
Tc04v2_t021240.1,WYIG-6746
Tc04v2_t010080.1,WYIG-4806
Tc04v2_t010080.1,OLXF-4806
Tc04v2_t010080.1,QTJY-4806
Tc04v2_t010080.1,RKLL-4806
Tc04v2_t010080.1,HLJG-4806
Tc04v2_t010080.1,GBVZ-4806
Tc04v2_t021120.1,OLXF-6412
Tc04v2_t021120.1,DXQW-6412
Tc04v2_t021120.1,ZSSR-6412
Tc04v2_t010850.1,WYIG-5513
Tc04v2_t010850.1,OLXF-5513
Tc04v2_t010850.1,HAEU-5513
Tc04v2_t000670.1,PTLU-7141
Tc04v2_t010030.4,ZSAB-6384
Tc04v2_t010030.4,CWZU-6384
Tc04v2_t025720.1,OLXF-5260
Tc04v2_t015240.1,WYIG_grafted_with_HQRJ-6387
Tc04v2_t015240.1,HQRJ-6387
Tc04v2_t015240.1,EDXZ-6387
Tc04v2_t015240.1,ZSSR-6387
Tc04v2_t015240.1,HKMQ-6387
Tc04v2_t000990.5,OLXF-5271
Tc04v2_t000990.5,WYIG-5271
Tc04v2_t000990.5,ZSAB_grafted_with_FYTP-5271
Tc04v2_t000990.5,FYTP-5271
Tc04v2_t018260.1,OLXF-4796
Tc04v2_t018260.1,WYIG_grafted_with_VUSY-4796
Tc04v2_t018260.1,QTJY-4796
Tc04v2_t018260.1,HAEU-4796
Tc04v2_t002450.3,NGRR-5434
Tc04v2_t004910.2,WYIG-4954
Tc04v2_t004910.2,ZSAB_grafted_with_NXOH-4954
Tc04v2_t004910.2,OXYP-4954
Tc04v2_t004910.2,Arath-4954
Tc04v2_t000990.2,OLXF-5271
Tc04v2_t000990.2,WYIG-5271
Tc04v2_t000990.2,ZSAB_grafted_with_FYTP-5271
Tc04v2_t000990.2,FYTP-5271
Tc04v2_t022960.1,WYIG_grafted_with_XNLP-5670
Tc04v2_t022960.1,XNLP-5670
Tc04v2_t022960.1,ICNN-5670
Tc04v2_t022960.1,DRIL-5670
Tc04v2_t022960.1,WCOR-5670
Tc04v2_t001710.1,WYIG_grafted_with_YKQR-5454
Tc04v2_t001710.1,BCAA-5454
Tc04v2_t001710.1,YKQR-5454
Tc04v2_t001710.1,Orysa-5454
Tc04v2_t003090.1,ZSAB-6150
Tc04v2_t003090.1,OLXF-6150
Tc04v2_t003090.1,FYTP-6150
Tc04v2_t003090.1,XFFT-6150
Tc04v2_t003090.1,HBHB-6150
Tc04v2_t003090.1,WYIG_grafted_with_HBHB-6150
Tc04v2_t011880.1,WYIG_grafted_with_INSP-6016
Tc04v2_t011880.1,INSP-6016
Tc04v2_t011880.1,FUPX-6016
Tc04v2_t011880.1,BYNZ-6016
Tc04v2_t011880.1,HWUP-6016
Tc04v2_t011880.1,Orysa-6016
Tc04v2_t005100.4,NCVK-5699
Tc04v2_t005100.4,Ambtr-5699
Tc04v2_t001630.1,TIUZ-5977
Tc04v2_t021700.2,WYIG-5940
Tc04v2_t021700.2,OLXF_grafted_with_WWKL-5940
Tc04v2_t010080.2,WYIG-4806
Tc04v2_t010080.2,OLXF-4806
Tc04v2_t010080.2,QTJY-4806
Tc04v2_t010080.2,RKLL-4806
Tc04v2_t010080.2,HLJG-4806
Tc04v2_t010080.2,GBVZ-4806
Tc02v2_t024400.6,OLXF-5702
Tc02v2_t024400.6,FYTP-5702
Tc02v2_t024400.6,WVEF-5702
Tc02v2_t024400.6,UMUL-5702
Tc02v2_t008790.1,ZSAB-5870
Tc02v2_t008790.1,OLXF-5870
Tc02v2_t008790.1,MAQO-5870
Tc02v2_t016310.1,OLXF-6636
Tc02v2_t016310.1,WYIG_grafted_with_LWDA-6636
Tc02v2_t016310.1,LWDA-6636
Tc02v2_t001560.2,OLXF_grafted_with_TIUZ-7331
Tc02v2_t001560.2,TIUZ-7331
Tc02v2_t001560.2,TKEK-7331
Tc02v2_t001560.2,EILE-7331
Tc02v2_t001560.2,XMVD-7331
Tc02v2_t001560.2,CAQZ-7331
Tc02v2_t001560.2,Arath-7331
Tc02v2_t014080.1,WYIG-6270
Tc02v2_t014080.1,OLXF-6270
Tc02v2_t024400.1,OLXF-5702
Tc02v2_t024400.1,FYTP-5702
Tc02v2_t024400.1,WVEF-5702
Tc02v2_t024400.1,UMUL-5702
Tc02v2_t022020.1,ZSAB-6026
Tc02v2_t022020.1,OLXF-6026
Tc02v2_t022020.1,XVJB-6026
Tc02v2_t022020.1,WWKL-6026
Tc02v2_t022020.1,Arath-6026
Tc02v2_t022020.1,UOYN-6026
Tc02v2_t022020.1,Ambtr-6026
Tc02v2_t005020.1,WYIG_grafted_with_THHD-5960
Tc02v2_t014080.2,WYIG-6270
Tc02v2_t014080.2,OLXF-6270
Tc02v2_t005970.1,WYIG_grafted_with_GLVK-6572
Tc02v2_t005970.1,GLVK-6572
Tc02v2_t005970.1,ICNN-6572
Tc02v2_t017690.1,OLXF-6639
Tc02v2_t017690.1,WYIG_grafted_with_VVPY-6639
Tc02v2_t017690.1,ZSAB_grafted_with_VVPY-6639
Tc02v2_t017690.1,VYGG-6639
Tc02v2_t017690.1,VVPY-6639
Tc02v2_t001560.3,OLXF_grafted_with_TIUZ-7331
Tc02v2_t001560.3,TIUZ-7331
Tc02v2_t001560.3,TKEK-7331
Tc02v2_t001560.3,EILE-7331
Tc02v2_t001560.3,XMVD-7331
Tc02v2_t001560.3,CAQZ-7331
Tc02v2_t001560.3,Arath-7331
Tc02v2_t019040.2,OLXF_grafted_with_TJLC-5426
Tc02v2_t019040.2,WYIG_grafted_with_HAEU-5426
Tc02v2_t019040.2,WYIG_grafted_with_HAEU-5426
Tc02v2_t019040.2,ZSAB_grafted_with_HAEU-5426
Tc02v2_t019040.2,ZSAB_grafted_with_HAEU-5426
Tc02v2_t019040.2,ZSAB_grafted_with_HAEU-5426
Tc02v2_t019040.2,TJLC-5426
Tc02v2_t019040.2,TJLC-5426
Tc02v2_t019040.2,HAEU-5426
Tc02v2_t019040.2,HAEU-5426
Tc02v2_t019040.2,HAEU-5426
Tc02v2_t019040.2,AJFN-5426
Tc02v2_t019040.2,SLYR-5426
Tc02v2_t019040.2,WXVX-5426
Tc02v2_t019040.2,BNTL-5426
Tc02v2_t019040.2,ABSS-5426
Tc02v2_t000750.4,WYIG_grafted_with_AUGV-6969
Tc02v2_t000750.4,OLXF_grafted_with_AUGV-6969
Tc02v2_t030010.1,OLXF-7067
Tc02v2_t030010.1,ZSAB-7067
Tc02v2_t024400.8,OLXF-5702
Tc02v2_t024400.8,FYTP-5702
Tc02v2_t024400.8,WVEF-5702
Tc02v2_t024400.8,UMUL-5702
Tc02v2_t001560.1,OLXF_grafted_with_TIUZ-7331
Tc02v2_t001560.1,TIUZ-7331
Tc02v2_t001560.1,TKEK-7331
Tc02v2_t001560.1,EILE-7331
Tc02v2_t001560.1,XMVD-7331
Tc02v2_t001560.1,CAQZ-7331
Tc02v2_t001560.1,Arath-7331
Tc02v2_t030090.1,OLXF-4890
Tc02v2_t024400.5,OLXF-5702
Tc02v2_t024400.5,FYTP-5702
Tc02v2_t024400.5,WVEF-5702
Tc02v2_t024400.5,UMUL-5702
Tc02v2_t029150.1,HQRJ-5733
Tc02v2_t013190.1,ZSAB-5941
Tc02v2_t013190.1,OLXF-5941
Tc02v2_t024400.11,OLXF-5702
Tc02v2_t024400.11,FYTP-5702
Tc02v2_t024400.11,WVEF-5702
Tc02v2_t024400.11,UMUL-5702
Tc02v2_t003370.1,OLXF-6875
Tc02v2_t003370.1,INQX-6875
Tc02v2_t017030.1,HAEU-7273
Tc02v2_t003710.1,WYIG-5840
Tc02v2_t003710.1,ZSAB-5840
Tc02v2_t003710.1,THHD-5840
Tc02v2_t003710.1,OWAS-5840
Tc02v2_t003710.1,Arath-5840
Tc02v2_t003710.1,RQZP-5840
Tc02v2_t012400.1,WYIG-6176
Tc02v2_t012400.1,OLXF-6176
Tc02v2_t012400.1,JGYZ-6176
Tc02v2_t012400.1,WOHL-6176
Tc02v2_t012400.1,XHKT-6176
