Query	Subject	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
VYGG-6780	Tc03v2_t004440.2	89.105	257	28	0	116	372	263	519	4.73E-87	320
WYIG-6780	Tc03v2_t004440.1	91.808	354	29	0	1	354	247	600	2.54E-139	494
WYIG-6780	Tc03v2_t004440.2	92.032	251	20	0	104	354	263	513	4.5E-97	353
OLXF-6780	Tc03v2_t004440.1	89.859	355	34	2	1	354	247	600	1.2E-127	455
OLXF-6780	Tc03v2_t004440.2	90.476	252	22	2	104	354	263	513	2.11E-90	331
OLXF_grafted_with_QTJY-4889	Tc08v2_t009990.3	83.977	518	81	2	3	519	459	975	1.04E-139	496
OLXF_grafted_with_QTJY-4889	Tc08v2_t009990.2	83.977	518	81	2	3	519	459	975	1.04E-139	496
OLXF_grafted_with_QTJY-4889	Tc08v2_t009990.5	83.977	518	81	2	3	519	459	975	1.04E-139	496
OLXF_grafted_with_QTJY-4889	Tc08v2_t009990.4	85.819	409	56	2	3	410	459	866	8.28E-121	433
WYIG_grafted_with_LWDA-4889	Tc08v2_t009990.3	92.22	437	34	0	1	437	505	941	5.35E-177	619
WYIG_grafted_with_LWDA-4889	Tc08v2_t009990.2	92.22	437	34	0	1	437	505	941	5.35E-177	619
WYIG_grafted_with_LWDA-4889	Tc08v2_t009990.5	92.22	437	34	0	1	437	505	941	5.35E-177	619
WYIG_grafted_with_LWDA-4889	Tc08v2_t009990.4	92.327	391	30	0	1	391	505	895	4.25E-158	556
QUTB-5366	Tc05v2_t003910.1	82.772	1248	201	13	1	1241	163	1403	0	1101
WYIG_grafted_with_QUTB-5366	Tc05v2_t003910.1	85.966	1247	163	11	1	1241	163	1403	0	1323
OLXF_grafted_with_QUTB-5366	Tc05v2_t003910.1	88.009	1276	143	9	4	1274	133	1403	0	1500
ZSAB_grafted_with_QUTB-5366	Tc05v2_t003910.1	85.726	1247	166	11	1	1241	163	1403	0	1306
THHD-5404	Tc03v2_t006880.1	86.367	1181	158	2	1	1181	406	1583	0	1286
ZSAB_grafted_with_THHD-5404	Tc03v2_t006880.1	88.156	1182	137	2	1	1182	406	1584	0	1404
THHD-6072	Tc09v2_t020490.2	85.581	645	91	2	1	644	241	884	0	675
THHD-6072	Tc09v2_t020490.1	86.301	584	78	2	1	583	241	823	0	634
OLXF_grafted_with_THHD-6072	Tc09v2_t020490.2	87.141	661	83	2	1	660	241	900	0	749
OLXF_grafted_with_THHD-6072	Tc09v2_t020490.1	86.986	584	74	2	1	583	241	823	0	656
WYIG-6072	Tc09v2_t020490.2	93.485	660	43	0	1	660	241	900	0	981
WYIG-6072	Tc09v2_t020490.1	93.31	583	39	0	1	583	241	823	0	861
WYIG-6738	Tc03v2_t003330.8	87.908	306	37	0	1	306	1	306	2.26E-99	361
WYIG-6738	Tc03v2_t003330.2	87.908	306	37	0	1	306	1	306	2.26E-99	361
WYIG-6738	Tc03v2_t003330.1	87.908	306	37	0	1	306	1	306	2.26E-99	361
WYIG-6738	Tc03v2_t003330.7	87.908	306	37	0	1	306	1	306	2.26E-99	361
BERS-6978	Tc09v2_t017440.3	78.698	845	171	8	31	872	244	1082	2.93E-157	555
BERS-6978	Tc09v2_t017440.4	79.175	485	101	0	388	872	460	944	1.16E-91	337
BERS-6978	Tc09v2_t017440.2	79.175	485	101	0	388	872	634	1118	1.16E-91	337
BERS-6978	Tc09v2_t017440.1	79.175	485	101	0	388	872	697	1181	1.16E-91	337
BHYC-6978	Tc09v2_t017440.3	78.662	867	170	12	14	874	230	1087	1.74E-159	562
HAEU-6978	Tc09v2_t017440.3	83.089	615	99	3	5	615	473	1086	2.04E-157	555
HAEU-6978	Tc09v2_t017440.4	82.815	547	91	1	72	615	402	948	7.54E-137	486
HAEU-6978	Tc09v2_t017440.1	82.815	547	91	1	72	615	639	1185	7.54E-137	486
HAEU-6978	Tc09v2_t017440.2	82.752	545	91	1	74	615	578	1122	9.75E-136	483
INQX-6978	Tc09v2_t017440.3	80.76	868	162	3	11	877	224	1087	0	673
WYIG-6978	Tc09v2_t017440.3	89.612	876	91	0	4	879	217	1092	0	1114
WYIG-6978	Tc09v2_t017440.4	89.512	553	58	0	327	879	402	954	0	701
WYIG-6978	Tc09v2_t017440.4	89.803	304	26	3	30	328	1	304	4.05E-106	385
WYIG-6978	Tc09v2_t017440.1	89.512	553	58	0	327	879	639	1191	0	701
WYIG-6978	Tc09v2_t017440.1	89.846	325	33	0	4	328	217	541	4E-116	418
WYIG-6978	Tc09v2_t017440.2	89.474	551	58	0	329	879	578	1128	0	697
WYIG-6978	Tc09v2_t017440.2	89.846	325	33	0	4	328	217	541	4E-116	418
VUSY-6946	Tc09v2_t022060.1	85.193	466	65	4	5	468	8	471	1.22E-133	475
WYIG-6946	Tc09v2_t022060.1	92.934	467	33	0	2	468	8	474	0	682
DRIL-5670	Tc04v2_t022960.1	75.881	1306	299	14	37	1334	367	1664	0	652
ICNN-5670	Tc04v2_t022960.1	80.963	872	158	7	46	915	640	1505	0	684
WCOR-5670	Tc04v2_t022960.1	76.383	1012	221	16	538	1540	640	1642	3.2E-149	529
XNLP-5670	Tc04v2_t022960.1	87.379	1030	128	2	1	1029	652	1680	0	1181
WYIG_grafted_with_XNLP-5670	Tc04v2_t022960.1	92.427	1030	76	2	1	1029	652	1680	0	1469
OLXF-7371	Tc01v2_t016350.1	93.162	234	16	0	4	237	124	357	1.73E-94	344
WYIG-7371	Tc01v2_t016350.1	94.421	233	13	0	2	234	122	354	6.17E-99	359
Ambtr-6376	Tc01v2_t022000.3	77.845	659	140	6	9	664	75	730	8.56E-112	403
Ambtr-6376	Tc01v2_t022000.2	79.679	561	108	6	9	566	75	632	1.11E-110	399
Ambtr-6376	Tc01v2_t022000.4	77.555	548	117	6	120	664	66	610	1.91E-88	326
IXVJ-6376	Tc01v2_t022000.2	81.168	531	94	5	7	534	76	603	1.84E-117	422
IXVJ-6376	Tc01v2_t022000.3	81.168	531	94	5	7	534	76	603	1.84E-117	422
IXVJ-6376	Tc01v2_t022000.4	81.429	420	72	5	118	534	67	483	1.91E-92	339
XNLP-6376	Tc01v2_t022000.3	82.544	676	104	4	16	690	82	744	1.04E-165	582
XNLP-6376	Tc01v2_t022000.2	83.037	619	93	2	16	634	82	688	2.94E-156	551
ZSAB-6376	Tc09v2_t009820.2	91.48	669	57	0	1	669	235	903	0	920
ZSAB-6376	Tc09v2_t009820.1	91.48	669	57	0	1	669	511	1179	0	920
WYIG-6376	Tc01v2_t022000.3	91.753	679	54	2	1	678	67	744	0	942
WYIG-6376	Tc01v2_t022000.2	92.175	639	48	2	1	638	67	704	0	902
WYIG-6376	Tc01v2_t022000.4	91.519	566	46	2	114	678	60	624	0	778
AWJM-5921	Tc04v2_t006900.2	81.721	1778	311	11	375	2142	1821	3594	0	1471
AWJM-5921	Tc04v2_t006900.1	81.721	1778	311	11	375	2142	1821	3594	0	1471
AWJM-5921	Tc04v2_t006900.3	79.97	669	125	7	375	1037	1821	2486	9.62E-136	484
Arath-5921	Tc04v2_t006900.3	75.391	1406	309	33	205	1592	355	1741	0	645
Arath-5921	Tc04v2_t006900.2	75.391	1406	309	33	205	1592	355	1741	0	645
Arath-5921	Tc04v2_t006900.1	75.391	1406	309	33	205	1592	355	1741	0	645
HAEU-5921	Tc04v2_t006900.2	84.178	1915	296	6	43	1952	1822	3734	0	1851
HAEU-5921	Tc04v2_t006900.1	84.178	1915	296	6	43	1952	1822	3734	0	1851
HAEU-5921	Tc04v2_t006900.3	85.53	1161	166	2	793	1952	2491	3650	0	1212
UZWG-5921	Tc04v2_t006900.2	83.585	1919	300	11	1588	3497	1822	3734	0	1784
UZWG-5921	Tc04v2_t006900.2	83.465	1397	223	8	194	1586	344	1736	0	1293
UZWG-5921	Tc04v2_t006900.1	83.585	1919	300	11	1588	3497	1822	3734	0	1784
UZWG-5921	Tc04v2_t006900.1	83.465	1397	223	8	194	1586	344	1736	0	1293
UZWG-5921	Tc04v2_t006900.3	83.465	1397	223	8	194	1586	344	1736	0	1293
UZWG-5921	Tc04v2_t006900.3	84.768	1162	173	4	2338	3497	2491	3650	0	1162
UZWG-5921	Tc04v2_t006900.3	81.872	673	113	6	1588	2254	1822	2491	9.16E-158	558
XHKT-5921	Tc04v2_t006900.3	77.493	1404	296	19	193	1586	343	1736	0	824
XHKT-5921	Tc04v2_t006900.2	77.493	1404	296	19	193	1586	343	1736	0	824
XHKT-5921	Tc04v2_t006900.1	77.493	1404	296	19	193	1586	343	1736	0	824
YBML-5921	Tc04v2_t006900.2	75.389	1930	426	45	1594	3497	1828	3734	0	887
YBML-5921	Tc04v2_t006900.1	75.389	1930	426	45	1594	3497	1828	3734	0	887
YBML-5921	Tc04v2_t006900.3	76.601	1171	252	21	2338	3497	2491	3650	8.91E-178	625
OLXF_grafted_with_HAEU-5921	Tc04v2_t006900.2	85.96	1916	260	8	43	1952	1822	3734	0	2039
OLXF_grafted_with_HAEU-5921	Tc04v2_t006900.1	85.96	1916	260	8	43	1952	1822	3734	0	2039
OLXF_grafted_with_HAEU-5921	Tc04v2_t006900.3	88.468	1162	130	4	793	1952	2491	3650	0	1400
NUZN-5816	Tc10v2_t008650.1	82.117	1398	238	9	1	1392	232	1623	0	1186
Vitvi-Genoscope.12X-5816	Tc10v2_t008650.1	79.828	1398	269	11	3	1395	234	1623	0	1007
WYIG_grafted_with_NUZN-5816	Tc10v2_t008650.1	86.315	1783	223	13	1	1779	232	1997	0	1921
ZSAB_grafted_with_SLYR-5816	Tc10v2_t008650.1	78.624	1352	262	25	22	1361	286	1622	0	870
TJLC-5168	Tc10v2_t006750.2	88.514	444	51	0	1	444	1	444	1.45E-152	538
TJLC-5168	Tc10v2_t006750.1	88.514	444	51	0	1	444	1	444	1.45E-152	538
WYIG_grafted_with_XBKS-5168	Tc10v2_t006750.2	84.183	765	119	2	2	765	83	846	0	741
WYIG_grafted_with_XBKS-5168	Tc10v2_t006750.1	84.183	765	119	2	2	765	83	846	0	741
CWZU-6384	Tc04v2_t010030.2	84.426	488	72	4	7	492	313	798	4.77E-134	477
CWZU-6384	Tc04v2_t010030.3	84.426	488	72	4	7	492	313	798	4.77E-134	477
CWZU-6384	Tc04v2_t010030.4	84.362	486	72	4	7	490	313	796	6.16E-133	473
ZSAB-6384	Tc04v2_t010030.4	89.474	589	62	0	1	589	208	796	0	745
ZSAB-6384	Tc04v2_t010030.2	89.474	589	62	0	1	589	208	796	0	745
ZSAB-6384	Tc04v2_t010030.3	89.474	589	62	0	1	589	208	796	0	745
HAEU-6532	Tc09v2_t018030.1	88.446	251	29	0	1	251	298	548	3.2E-82	303
UZWG-6532	Tc09v2_t018030.1	90.041	241	22	2	12	251	309	548	1.91E-84	311
OLXF-6532	Tc09v2_t018030.1	91.837	245	20	0	8	252	305	549	6.78E-94	342
WYIG-6532	Tc09v2_t018030.1	91.373	255	22	0	1	255	298	552	4.05E-96	350
VYGG-6393	Tc01v2_t030690.3	85.12	625	88	3	1	621	319	942	0	634
VYGG-6393	Tc01v2_t030690.2	85.12	625	88	3	1	621	319	942	0	634
VYGG-6393	Tc01v2_t030690.1	85.12	625	88	3	1	621	319	942	0	634
VYGG-6393	Tc01v2_t030690.4	85.12	625	88	3	1	621	319	942	0	634
ZSAB_grafted_with_VYGG-6393	Tc01v2_t030690.3	86.859	624	82	0	1	624	319	942	0	699
ZSAB_grafted_with_VYGG-6393	Tc01v2_t030690.2	86.859	624	82	0	1	624	319	942	0	699
ZSAB_grafted_with_VYGG-6393	Tc01v2_t030690.1	86.859	624	82	0	1	624	319	942	0	699
ZSAB_grafted_with_VYGG-6393	Tc01v2_t030690.4	86.859	624	82	0	1	624	319	942	0	699
WYIG-6393	Tc01v2_t030690.3	91.293	781	66	2	2	781	134	913	0	1064
WYIG-6393	Tc01v2_t030690.2	91.293	781	66	2	2	781	134	913	0	1064
WYIG-6393	Tc01v2_t030690.1	91.293	781	66	2	2	781	134	913	0	1064
WYIG-6393	Tc01v2_t030690.4	91.293	781	66	2	2	781	134	913	0	1064
HAEU-5502	Tc01v2_t031970.1	84.848	957	145	0	1	957	439	1395	0	965
WZFE-5502	Tc01v2_t031970.1	80.34	1058	199	8	1	1055	322	1373	0	793
PTLU-5318	Tc04v2_t018900.1	85.906	596	84	0	11	606	227	822	0	636
SLYR-5318	Tc04v2_t018900.1	85.103	584	87	0	16	599	235	818	3.24E-170	597
VXKB-5318	Tc04v2_t018900.1	81.681	595	106	3	7	599	225	818	1.57E-138	492
ZSAB_grafted_with_PTLU-5318	Tc04v2_t018900.1	86.913	596	78	0	5	600	227	822	0	669
WYIG-5318	Tc04v2_t018900.1	93.467	597	37	2	5	600	227	822	0	885
OLXF_grafted_with_PTLU-5318	Tc04v2_t018900.1	88.945	597	66	0	4	600	226	822	0	737
WYIG-5177	Tc06v2_t012010.1	89.873	553	56	0	1	553	322	874	0	712
VVPY-6848	Tc02v2_t003570.1	82.432	370	65	0	9	378	24	393	3.72E-88	324
WYIG-6848	Tc02v2_t003570.1	92.294	545	42	0	3	547	18	562	0	774
PTLU-7141	Tc04v2_t000670.1	81.176	680	117	10	7	683	201	872	8.2E-152	536
SVVG-6420	Tc01v2_t020320.1	82.588	626	107	2	1	625	466	1090	2.66E-156	551
ZSAB_grafted_with_SVVG-6420	Tc01v2_t020320.1	83.689	656	105	2	4	658	436	1090	2.73E-176	617
FYTP-5664	Tc09v2_t030010.2	81.96	959	167	6	1	956	202	1157	0	808
FYTP-5664	Tc09v2_t030010.1	81.648	959	164	9	1	956	202	1151	0	785
NGRR-5664	Tc09v2_t030010.2	80.967	951	171	10	9	953	211	1157	0	745
NGRR-5664	Tc09v2_t030010.1	80.652	951	168	13	9	953	211	1151	0	723
VUSY-5664	Tc09v2_t030010.2	81.478	934	165	7	9	938	210	1139	0	760
VUSY-5664	Tc09v2_t030010.1	81.156	934	162	9	9	938	210	1133	0	737
WYIG-5664	Tc09v2_t030010.2	90.262	955	93	0	1	955	202	1156	0	1249
WYIG-5664	Tc09v2_t030010.1	89.634	955	93	1	1	955	202	1150	0	1210
OLXF-5664	Tc09v2_t030010.2	88.345	961	112	0	1	961	202	1162	0	1155
OLXF-5664	Tc09v2_t030010.1	87.721	961	112	1	1	961	202	1156	0	1116
ERWT-5770	Tc07v2_t002430.1	78.333	1020	205	15	182	1193	617	1628	0	645
ICNN-5770	Tc07v2_t002430.1	77.461	843	180	9	335	1172	770	1607	2.48E-139	496
QTJY-5770	Tc07v2_t002430.1	81.409	1022	186	4	186	1205	618	1637	0	832
QUTB-5770	Tc07v2_t002430.1	84.762	1050	158	2	148	1196	583	1631	0	1051
RMWJ-5770	Tc07v2_t002430.1	82.632	380	66	0	562	941	1252	1631	1.24E-91	337
ZSAB_grafted_with_QUTB-5770	Tc07v2_t002430.1	86.553	1056	142	0	148	1203	583	1638	0	1164
WYIG-5770	Tc07v2_t002430.1	86.381	1072	136	5	145	1208	571	1640	0	1164
WYIG-6148	Tc01v2_t011790.1	91.295	448	39	0	9	456	273	720	8.65E-175	612
OLXF-6148	Tc01v2_t011790.1	90.022	451	43	2	7	456	271	720	6.78E-166	582
JGYZ-6176	Tc02v2_t012400.1	80.144	1385	267	8	20	1400	137	1517	0	1027
WOHL-6176	Tc02v2_t012400.1	81.137	1108	195	10	20	1123	137	1234	0	876
XHKT-6176	Tc02v2_t012400.1	81.582	961	159	12	20	965	137	1094	0	778
OLXF-6176	Tc02v2_t012400.1	91.035	1517	133	1	13	1526	130	1646	0	2047
WYIG-6176	Tc02v2_t012400.1	91.509	1531	128	2	4	1533	121	1650	0	2106
OLXF-5260	Tc04v2_t025720.1	90.391	281	27	0	5	285	122	402	3.47E-102	370
HYZL-4932	Tc09v2_t016900.2	83.618	995	154	9	10	999	141	1131	0	926
HYZL-4932	Tc09v2_t016900.3	83.618	995	154	9	10	999	141	1131	0	926
ZSAB_grafted_with_HYZL-4932	Tc09v2_t016900.2	84.839	996	140	10	10	999	141	1131	0	992
ZSAB_grafted_with_HYZL-4932	Tc09v2_t016900.3	84.839	996	140	10	10	999	141	1131	0	992
Ambtr-6389	Tc08v2_t008610.1	82.158	936	159	8	1	932	94	1025	0	797
Ambtr-6389	Tc08v2_t008610.2	82.158	936	159	8	1	932	94	1025	0	797
HLJG-6389	Tc08v2_t008610.1	85.331	634	91	2	1	633	1	633	0	654
HLJG-6389	Tc08v2_t008610.2	85.331	634	91	2	1	633	1	633	0	654
THHD-6389	Tc08v2_t008610.1	90.026	1173	117	0	1	1173	1	1173	0	1519
THHD-6389	Tc08v2_t008610.2	90.026	1173	117	0	1	1173	1	1173	0	1519
OLXF_grafted_with_THHD-6389	Tc08v2_t008610.1	90.963	1173	106	0	1	1173	1	1173	0	1580
OLXF_grafted_with_THHD-6389	Tc08v2_t008610.2	90.963	1173	106	0	1	1173	1	1173	0	1580
MZOB-6992	Tc04v2_t016260.1	86.029	408	57	0	7	414	28	435	1.4E-122	438
MZOB-6992	Tc04v2_t016260.2	85.468	406	58	1	7	412	28	432	1.41E-117	422
WYIG-6992	Tc04v2_t016260.1	93.563	435	28	0	1	435	1	435	0	649
WYIG-6992	Tc04v2_t016260.2	93.072	433	29	1	1	433	1	432	0	632
ZSAB-6992	Tc04v2_t016260.1	93.793	435	27	0	1	435	1	435	0	654
ZSAB-6992	Tc04v2_t016260.2	93.303	433	28	1	1	433	1	432	0	638
Ambtr-5280	Tc09v2_t029120.4	79.137	1251	255	6	22	1269	28	1275	0	859
Ambtr-5280	Tc09v2_t029120.1	79.137	1251	255	6	22	1269	28	1275	0	859
Ambtr-5280	Tc09v2_t029120.2	79.137	1251	255	6	22	1269	28	1275	0	859
Ambtr-5280	Tc09v2_t029120.3	79.137	1251	255	6	22	1269	28	1275	0	859
EDXZ-5280	Tc09v2_t029120.4	83.417	796	132	0	1	796	142	937	0	739
EDXZ-5280	Tc09v2_t029120.1	83.417	796	132	0	1	796	142	937	0	739
EDXZ-5280	Tc09v2_t029120.2	83.417	796	132	0	1	796	142	937	0	739
EDXZ-5280	Tc09v2_t029120.3	83.417	796	132	0	1	796	142	937	0	739
LNER-5280	Tc09v2_t029120.4	87.23	1065	134	2	1	1064	31	1094	0	1212
LNER-5280	Tc09v2_t029120.1	87.23	1065	134	2	1	1064	31	1094	0	1212
LNER-5280	Tc09v2_t029120.2	87.23	1065	134	2	1	1064	31	1094	0	1212
LNER-5280	Tc09v2_t029120.3	87.23	1065	134	2	1	1064	31	1094	0	1212
Orysa-5280	Tc09v2_t029120.4	77.664	1267	267	15	7	1265	13	1271	0	758
Orysa-5280	Tc09v2_t029120.1	77.664	1267	267	15	7	1265	13	1271	0	758
Orysa-5280	Tc09v2_t029120.2	77.664	1267	267	15	7	1265	13	1271	0	758
Orysa-5280	Tc09v2_t029120.3	77.664	1267	267	15	7	1265	13	1271	0	758
OLXF_grafted_with_LNER-5280	Tc09v2_t029120.4	90.442	1245	119	0	1	1245	31	1275	0	1640
OLXF_grafted_with_LNER-5280	Tc09v2_t029120.1	90.442	1245	119	0	1	1245	31	1275	0	1640
OLXF_grafted_with_LNER-5280	Tc09v2_t029120.2	90.442	1245	119	0	1	1245	31	1275	0	1640
OLXF_grafted_with_LNER-5280	Tc09v2_t029120.3	90.442	1245	119	0	1	1245	31	1275	0	1640
WYIG_grafted_with_LNER-5280	Tc09v2_t029120.4	88.522	1089	123	2	1	1088	7	1094	0	1317
WYIG_grafted_with_LNER-5280	Tc09v2_t029120.1	88.522	1089	123	2	1	1088	7	1094	0	1317
WYIG_grafted_with_LNER-5280	Tc09v2_t029120.2	88.522	1089	123	2	1	1088	7	1094	0	1317
WYIG_grafted_with_LNER-5280	Tc09v2_t029120.3	88.522	1089	123	2	1	1088	7	1094	0	1317
DXQW-6412	Tc04v2_t021120.1	83.306	605	99	2	3	606	213	816	5.52E-158	556
ZSSR-6412	Tc04v2_t021120.1	82.293	593	105	0	13	605	223	815	3.37E-145	514
OLXF-6412	Tc04v2_t021120.1	85.927	604	85	0	3	606	213	816	0	645
EYRD-5614	Tc05v2_t020620.2	75.857	1487	305	27	28	1471	76	1551	0	708
EYRD-5614	Tc05v2_t020620.1	75.857	1487	305	27	28	1471	76	1551	0	708
LFOG-5614	Tc05v2_t020620.2	79.673	1712	334	11	1	1705	280	1984	0	1221
LFOG-5614	Tc05v2_t020620.1	79.673	1712	334	11	1	1705	280	1984	0	1221
LVUS-5614	Tc05v2_t020620.2	76.979	1933	416	26	1	1920	79	1995	0	1077
LVUS-5614	Tc05v2_t020620.1	76.979	1933	416	26	1	1920	79	1995	0	1077
OMDH-5614	Tc05v2_t020620.2	81.024	1797	303	13	13	1778	49	1838	0	1395
OMDH-5614	Tc05v2_t020620.1	81.024	1797	303	13	13	1778	49	1838	0	1395
ZSAB_grafted_with_OMDH-5614	Tc05v2_t020620.2	85.198	1797	246	12	13	1796	49	1838	0	1827
ZSAB_grafted_with_OMDH-5614	Tc05v2_t020620.1	85.198	1797	246	12	13	1796	49	1838	0	1827
WYIG_grafted_with_OMDH-5614	Tc05v2_t020620.2	85.963	2237	299	10	13	2240	49	2279	0	2377
WYIG_grafted_with_OMDH-5614	Tc05v2_t020620.1	85.963	2237	299	10	13	2240	49	2279	0	2377
OLXF_grafted_with_OMDH-5614	Tc05v2_t020620.2	85.604	1681	228	9	7	1677	49	1725	0	1751
OLXF_grafted_with_OMDH-5614	Tc05v2_t020620.1	85.604	1681	228	9	7	1677	49	1725	0	1751
TXMP-7174	Tc02v2_t021130.1	79.577	710	135	8	718	1422	1006	1710	2.27E-140	499
ZSAB-7174	Tc02v2_t021130.1	89.648	1362	138	2	1	1362	352	1710	0	1731
OLXF_grafted_with_GLVK-7174	Tc02v2_t021130.1	80.735	1443	231	33	2	1410	281	1710	0	1092
NGRR-4471	Tc01v2_t002270.1	85.659	516	68	3	1	513	709	1221	1.68E-152	538
QUTB-4471	Tc01v2_t002270.1	87.167	639	82	0	4	642	583	1221	0	726
TIUZ-4471	Tc01v2_t002270.1	87.259	675	86	0	154	828	547	1221	0	771
TJLC-4471	Tc01v2_t002270.1	87.259	675	83	1	1	672	547	1221	0	767
TVSH-4471	Tc01v2_t002270.1	81.241	677	120	6	49	720	547	1221	6.65E-153	540
VUSY-4471	Tc01v2_t002270.1	85.312	674	99	0	154	827	547	1220	0	697
NUZN-6406	Tc09v2_t013320.3	83.811	593	96	0	1	593	337	929	3.25E-160	564
NUZN-6406	Tc09v2_t013320.5	83.811	593	96	0	1	593	337	929	3.25E-160	564
NUZN-6406	Tc09v2_t013320.4	83.557	596	95	1	1	593	337	932	1.96E-157	555
NUZN-6406	Tc09v2_t013320.2	83.664	453	74	0	1	453	337	789	4.45E-119	427
NUZN-6406	Tc09v2_t013320.1	83.664	453	74	0	1	453	337	789	4.45E-119	427
OMYK-7136	Tc02v2_t023490.1	80.929	409	76	2	1	408	220	627	1.45E-87	322
Vitvi-Genoscope.12X-7136	Tc02v2_t023490.1	85.106	329	49	0	14	342	299	627	4.29E-92	337
UMUL-5206	Tc07v2_t010420.1	82.203	472	84	0	66	537	267	738	5.22E-113	407
WAXR-5206	Tc07v2_t010420.1	83.49	533	84	3	7	537	205	735	3.87E-139	494
ZSAB_grafted_with_QUTB-5206	Tc07v2_t010420.1	89.945	547	55	0	1	547	190	736	0	706
OLXF-5064	Tc09v2_t026280.1	94.805	231	12	0	1	231	1	231	1.67E-99	361
ZSAB-5064	Tc09v2_t026280.1	91.189	227	20	0	1	227	1	227	6.12E-84	309
BJKT-5131	Tc04v2_t014020.2	78.261	782	160	9	1	777	367	1143	5.71E-139	494
BJKT-5131	Tc04v2_t014020.1	77.815	604	124	9	1	599	367	965	4.67E-100	364
WYIG_grafted_with_TJLC-5131	Tc04v2_t014020.2	89.972	708	71	0	1	708	439	1146	0	915
WYIG_grafted_with_TJLC-5131	Tc04v2_t014020.1	88.74	524	59	0	1	524	439	962	0	641
HYZL-6450	Tc08v2_t006130.1	85.405	925	135	0	7	931	631	1555	0	961
IEPQ-6450	Tc08v2_t006130.1	80.366	1258	229	16	5	1253	263	1511	0	939
Orysa-6450	Tc08v2_t006130.1	75.96	990	228	10	140	1124	398	1382	5.75E-141	501
WYIG_grafted_with_HYZL-6450	Tc08v2_t006130.1	87.676	925	114	0	7	931	631	1555	0	1077
